Month,Region,Sales_Rep,Units_Sold,Unit_Price,Revenue,Cost,Profit
Jul,West,Skyler,176,26,4576,3289.9446052214653,1286.0553947785347
Apr,East,Alex,83,34,2822,2075.7658361139243,746.2341638860757
Nov,East,Jamie,133,22,2926,2161.1038518774762,764.8961481225238
Aug,North,Skyler,190,22,4180,3233.742480684348,946.2575193156522
May,North,Alex,170,31,5270,3944.3259191506336,1325.6740808493664
Jul,South,Jamie,168,26,4368,3012.373744719226,1355.6262552807739
Oct,West,Alex,143,34,4862,3203.769445992269,1658.230554007731
Mar,South,Alex,198,30,5940,3862.7691197709437,2077.2308802290563
Jul,South,Skyler,171,29,4959,3896.10087165893,1062.89912834107
Nov,East,Skyler,229,23,5267,4167.8640464263335,1099.1359535736665
Nov,East,Jamie,232,34,7888,5238.552712204835,2649.447287795165
Aug,East,Skyler,160,21,3360,2429.475023614253,930.5249763857469
May,East,Skyler,138,28,3864,2599.464579925726,1264.535420074274
Apr,South,Jordan,123,34,4182,3313.4503020894726,868.5496979105274
Aug,East,Jordan,155,33,5115,3514.1322485320816,1600.8677514679184
Aug,West,Jamie,223,32,7136,5175.363051127028,1960.6369488729724
Mar,East,Skyler,180,28,5040,3401.208864950085,1638.7911350499148
Jun,East,Jamie,204,25,5100,3569.562229644843,1530.4377703551572
May,East,Jordan,95,33,3135,2163.215691226007,971.784308773993
Feb,North,Jordan,134,21,2814,2029.7773327385596,784.2226672614404
Aug,West,Jordan,174,22,3828,2729.2388025931177,1098.7611974068823
Dec,West,Jamie,158,24,3792,2652.957785568694,1139.042214431306
Jun,South,Skyler,156,30,4680,3116.326087589185,1563.6739124108149
Feb,South,Alex,119,30,3570,2579.9428002847208,990.0571997152792
Dec,East,Skyler,100,34,3400,2643.606089226692,756.3939107733081
May,North,Jamie,145,24,3480,2643.176581697666,836.8234183023342
Jan,South,Jordan,215,32,6880,5215.633280455875,1664.3667195441249
Dec,South,Alex,89,28,2492,1756.6450911953964,735.3549088046036
Oct,East,Jamie,211,29,6119,4627.572453204021,1491.4275467959787
Jun,East,Jordan,122,22,2684,1932.0229744116075,751.9770255883925
Dec,South,Jamie,184,21,3864,2598.7000222498027,1265.2999777501973
Sep,South,Alex,142,29,4118,2935.547030561442,1182.4529694385578
Jan,West,Jordan,161,27,4347,2912.1022243641532,1434.8977756358468
Nov,North,Skyler,130,26,3380,2255.042789185614,1124.9572108143861
Nov,West,Jamie,135,31,4185,2734.7254808842654,1450.2745191157346
Oct,South,Alex,231,28,6468,4478.625242800528,1989.3747571994718
Dec,West,Skyler,113,22,2486,1739.2832070438214,746.7167929561786
Dec,West,Alex,138,25,3450,2604.46212144567,845.5378785543298
Mar,South,Jamie,209,24,5016,3665.1948001473115,1350.8051998526885
Dec,East,Alex,209,24,5016,3906.2975633489123,1109.7024366510877
Jul,South,Jordan,217,29,6293,4257.029448078805,2035.9705519211948
Apr,East,Alex,230,27,6210,4284.2386156184175,1925.7613843815825
Sep,South,Jamie,222,20,4440,3512.756690021515,927.2433099784848
Mar,South,Jordan,197,20,3940,2823.43074143787,1116.56925856213
May,South,Alex,207,22,4554,3499.100699196537,1054.8993008034631
Mar,North,Alex,96,30,2880,2084.6164242165796,795.3835757834204
Jul,East,Jordan,161,21,3381,2436.561090960608,944.438909039392
May,North,Skyler,93,21,1953,1312.8406665782838,640.1593334217162
Sep,South,Skyler,160,21,3360,2613.0046039180875,746.9953960819125
Jul,West,Jordan,202,23,4646,3074.5057950136465,1571.4942049863535
Feb,North,Alex,95,20,1900,1323.424411976117,576.575588023883
Apr,East,Skyler,111,29,3219,2417.534058430089,801.4659415699111
Sep,South,Jordan,102,34,3468,2518.0753779303373,949.9246220696627
Dec,North,Jamie,181,28,5068,3964.223804163762,1103.776195836238
Feb,West,Alex,241,33,7953,5216.330492778344,2736.669507221656
Oct,North,Jamie,177,24,4248,3175.002471425228,1072.9975285747719
Sep,East,Alex,223,24,5352,3862.109279819456,1489.8907201805441
Oct,North,Skyler,241,28,6748,4542.394427713956,2205.6055722860438
May,West,Jamie,183,33,6039,4598.624740057943,1440.3752599420568
Feb,West,Jamie,205,24,4920,3501.5444592896456,1418.4555407103544
Apr,East,Jordan,240,32,7680,5604.382353680659,2075.6176463193406
Dec,West,Skyler,147,32,4704,3740.1029364258093,963.8970635741907
Dec,South,Skyler,143,30,4290,3101.389057139709,1188.6109428602908
Jul,West,Alex,150,33,4950,3828.854352677293,1121.1456473227072
Dec,South,Jordan,97,27,2619,2004.678530044608,614.3214699553921
Aug,North,Jordan,192,30,5760,4316.6199670679225,1443.3800329320775
Mar,South,Alex,204,20,4080,3200.8490317304045,879.1509682695955
Jan,South,Jamie,206,20,4120,2833.4898178071776,1286.5101821928224
Apr,North,Alex,140,23,3220,2489.4325047988814,730.5674952011186
Feb,West,Alex,154,27,4158,2938.3260565134224,1219.6739434865776
Aug,South,Alex,186,22,4092,3158.5069083318535,933.4930916681465
Apr,West,Jordan,227,20,4540,3287.270094175493,1252.7299058245071
Feb,North,Alex,218,30,6540,5092.412777137314,1447.5872228626858
