Month,Region,Sales_Rep,Units_Sold,Unit_Price,Revenue,Cost,Profit
Jul,West,Skyler,176,26,4576,3289.944605,1286.055395
Apr,East,Alex,83,34,2822,2075.765836,746.2341639
Nov,East,Jamie,133,22,2926,2161.103852,764.8961481
Aug,North,Skyler,190,22,4180,3233.742481,946.2575193
May,North,Alex,170,31,5270,3944.325919,1325.674081
Jul,South,Jamie,168,26,4368,3012.373745,1355.626255
Oct,West,Alex,143,34,4862,3203.769446,1658.230554
Mar,South,Alex,198,30,5940,3862.76912,2077.23088
Jul,South,Skyler,171,29,4959,3896.10,1062.90
Nov,East,Skyler,229,23,5267,4167.864046,1099.135954
Nov,East,Jamie,232,34,7888,5238.552712,2649.447288
Aug,East,Skyler,160,21,3360,2429.475024,930.5249764
May,East,Skyler,138,28,3864,2599.46458,1264.53542
Apr,South,Jordan,123,34,4182,3313.450302,868.5496979
Aug,East,Jordan,155,33,5115,3514.132249,1600.867751
Aug,West,Jamie,223,32,7136,5175.363051,1960.636949
Mar,East,Skyler,180,28,5040,3401.208865,1638.791135
Jun,East,Jamie,204,25,5100,3569.56223,1530.43777
May,East,Jordan,95,33,3135,2163.215691,971.78
Feb,North,Jordan,134,21,2814,2029.777333,784.2226673
Aug,West,Jordan,174,22,3828,2729.238803,1098.761197
Dec,West,Jamie,158,24,3792,2652.957786,1139.042214
Jun,South,Skyler,156,30,4680,3116.326088,1563.673912
Feb,South,Alex,119,30,3570,2579.9428,990.0571997
Dec,East,Skyler,100,34,3400,2643.606089,756.3939108
May,North,Jamie,145,24,3480,2643.176582,836.8234183
Jan,South,Jordan,215,32,6880,5215.63328,1664.36672
Dec,South,Alex,89,28,2492,1756.645091,735.3549088
Oct,East,Jamie,211,29,6119,4627.572453,1491.427547
Jun,East,Jordan,122,22,2684,1932.022974,751.9770256
Dec,South,Jamie,184,21,3864,2598.700022,1265.299978
Sep,South,Alex,142,29,4118,2935.547031,1182.452969
Jan,West,Jordan,161,27,4347,2912.102224,1434.897776
Nov,North,Skyler,130,26,3380,2255.042789,1124.957211
Nov,West,Jamie,135,31,4185,2734.725481,1450.274519
Oct,South,Alex,231,28,6468,4478.625243,1989.374757
Dec,West,Skyler,113,22,2486,1739.28,746.716793
Dec,West,Alex,138,25,3450,2604.46,845.5378786
Mar,South,Jamie,209,24,5016,3665.1948,1350.8052
Dec,East,Alex,209,24,5016,3906.297563,1109.702437
Jul,South,Jordan,217,29,6293,4257.029448,2035.970552
Apr,East,Alex,230,27,6210,4284.238616,1925.761384
Sep,South,Jamie,222,20,4440,3512.75669,927.24331
Mar,South,Jordan,197,20,3940,2823.43,1116.57
May,South,Alex,207,22,4554,3499.100699,1054.899301
Mar,North,Alex,96,30,2880,2084.616424,795.3835758
Jul,East,Jordan,161,21,3381,2436.561091,944.44
May,North,Skyler,93,21,1953,1312.840667,640.1593334
Sep,South,Skyler,160,21,3360,2613.004604,746.9953961
Jul,West,Jordan,202,23,4646,3074.505795,1571.494205
Feb,North,Alex,95,20,1900,1323.424412,576.58
Apr,East,Skyler,111,29,3219,2417.534058,801.4659416
Sep,South,Jordan,102,34,3468,2518.075378,949.9246221
Dec,North,Jamie,181,28,5068,3964.223804,1103.776196
Feb,West,Alex,241,33,7953,5216.330493,2736.669507
Oct,North,Jamie,177,24,4248,3175.002471,1072.997529
Sep,East,Alex,223,24,5352,3862.10928,1489.89072
Oct,North,Skyler,241,28,6748,4542.394428,2205.605572
May,West,Jamie,183,33,6039,4598.62474,1440.37526
Feb,West,Jamie,205,24,4920,3501.544459,1418.455541
Apr,East,Jordan,240,32,7680,5604.382354,2075.617646
Dec,West,Skyler,147,32,4704,3740.102936,963.8970636
Dec,South,Skyler,143,30,4290,3101.389057,1188.610943
Jul,West,Alex,150,33,4950,3828.854353,1121.145647
Dec,South,Jordan,97,27,2619,2004.67853,614.32147
Aug,North,Jordan,192,30,5760,4316.619967,1443.380033
Mar,South,Alex,204,20,4080,3200.849032,879.1509683
Jan,South,Jamie,206,20,4120,2833.489818,1286.510182
Apr,North,Alex,140,23,3220,2489.432505,730.5674952
Feb,West,Alex,154,27,4158,2938.326057,1219.673943
Aug,South,Alex,186,22,4092,3158.506908,933.4930917
Apr,West,Jordan,227,20,4540,3287.270094,1252.729906
Feb,North,Alex,218,30,6540,5092.412777,1447.587223
Jun,East,Alex,160,31,4960,3889.763592,1070.236408
Jun,West,Alex,185,28,5180,3831.369291,1348.630709
Oct,West,Skyler,107,28,2996,2175.527554,820.4724456
Apr,East,Jamie,242,28,6776,5200.525938,1575.474062
Jun,East,Jamie,87,28,2436,1680.956759,755.0432414
Feb,North,Jamie,170,21,3570,2328.719219,1241.280781
Oct,West,Jamie,229,33,7557,5373.512064,2183.487936
Dec,West,Jordan,200,33,6600,4792.696392,1807.303608
Feb,North,Jordan,231,30,6930,4813.504597,2116.495403
Oct,West,Alex,145,30,4350,3077.643628,1272.356372
Apr,South,Jordan,174,30,5220,3497.184596,1722.815404
Aug,South,Jamie,143,23,3289,2274.650974,1014.349026
Jul,South,Skyler,144,34,4896,3358.726024,1537.273976
Dec,West,Alex,204,21,4284,2978.014152,1305.985848
Sep,South,Alex,93,26,2418,1680.166926,737.8330741
Aug,South,Jamie,104,30,3120,2289.597198,830.4028023
May,North,Jamie,179,22,3938,2707.727613,1230.272387
Feb,North,Jamie,184,28,5152,4075.974864,1076.025136
May,East,Jordan,210,26,5460,3967.734086,1492.265914
Aug,East,Alex,212,27,5724,3831.330213,1892.669787
Oct,East,Jamie,144,28,4032,2789.905872,1242.094128
Sep,East,Skyler,98,27,2646,2009.54075,636.4592498
Dec,North,Alex,185,26,4810,3136.354996,1673.645004
Dec,North,Alex,133,34,4522,3575.42194,946.57806
Dec,North,Jordan,217,28,6076,4355.134246,1720.865754
Sep,South,Alex,223,30,6690,4871.4028,1818.5972
Jan,South,Jamie,183,20,3660,2921.638317,738.3616825
Sep,East,Jamie,236,30,7080,5136.61,1943.39
Jul,South,Skyler,94,34,3196,2531.75,664.25
Sep,West,Alex,127,23,2921,2299.658513,621.3414866
Aug,North,Alex,218,23,5014,3967.063409,1046.936591
Jan,East,Jordan,113,24,2712,2093.27336,618.7266402
Dec,East,Jamie,243,27,6561,4556.350175,2004.649825
Aug,West,Skyler,237,29,6873,4824.553022,2048.446978
Aug,South,Jamie,178,20,3560,2508.901492,1051.098508
Nov,East,Alex,98,25,2450,1952.348959,497.6510414
Mar,South,Alex,149,28,4172,2937.560794,1234.439206
Jan,South,Skyler,194,29,5626,3748.622908,1877.377092
Aug,West,Alex,240,27,6480,4968.535686,1511.464314
Mar,East,Skyler,175,34,5950,4194.211488,1755.788512
Mar,South,Skyler,154,21,3234,2403.316011,830.6839892
Jan,South,Jamie,229,26,5954,4695.646284,1258.353716
Nov,West,Skyler,115,24,2760,2032.259309,727.7406912
May,West,Alex,230,21,4830,3601.51,1228.49
Oct,South,Jordan,142,30,4260,3179.789179,1080.210821
Jul,West,Jordan,233,20,4660,3457.067031,1202.932969
Oct,South,Alex,172,21,3612,2434.363049,1177.636951
Sep,East,Jordan,84,30,2520,1810.525027,709.4749732
Dec,North,Jordan,245,29,7105,4626.42,2478.58
Jul,West,Skyler,104,25,2600,1934.24,665.7567264
Sep,North,Jordan,177,30,5310,3909.772882,1400.227118
Aug,South,Jordan,91,31,2821,1968.269764,852.7302357
Dec,South,Jordan,229,27,6183,4504.836884,1678.163116
Feb,South,Jamie,216,22,4752,3440.251587,1311.748413
Jan,North,Alex,163,24,3912,2690.037049,1221.962951
Jul,South,Skyler,108,34,3672,2548.342781,1123.657219
Jul,West,Jordan,188,30,5640,4311.109683,1328.890317
Aug,East,Alex,106,21,2226,1699.239021,526.7609786
May,East,Jordan,134,31,4154,2992.821258,1161.178742
Mar,West,Jamie,212,27,5724,4336.65,1387.346813
Dec,East,Jamie,131,23,3013,2162.189639,850.8103614
Aug,North,Jordan,92,30,2760,2146.46885,613.5311496
Jun,South,Jordan,121,29,3509,2456.022797,1052.977203
Nov,South,Jordan,222,31,6882,5430.544048,1451.455952
Mar,South,Jamie,158,25,3950,2888.803063,1061.196937
Jan,North,Jamie,97,22,2134,1558.573684,575.4263157
Mar,North,Alex,129,30,3870,2904.905428,965.0945719
May,North,Skyler,81,34,2754,1930.907618,823.0923819
Mar,West,Skyler,166,27,4482,3400.266771,1081.733229
Jan,North,Jamie,186,27,5022,3505.67623,1516.32377
May,East,Skyler,220,22,4840,3434.613191,1405.386809
Oct,West,Jordan,126,31,3906,2934.208744,971.7912564
Jul,West,Alex,168,28,4704,3324.633686,1379.366314
Jul,West,Jamie,91,29,2639,1794.509756,844.4902435
Nov,North,Jamie,92,32,2944,2298.631684,645.3683158
Sep,West,Skyler,216,24,5184,4086.668024,1097.331976
Oct,North,Jordan,138,29,4002,2977.526649,1024.473351
Oct,North,Alex,122,28,3416,2636.03,779.9663448
Dec,West,Skyler,153,26,3978,3174.43546,803.5645399
Mar,South,Jamie,102,34,3468,2574.005826,893.9941741
Jul,South,Jamie,158,34,5372,4224.105112,1147.894888
Jan,West,Skyler,102,34,3468,2441.084321,1026.915679
Apr,South,Jordan,180,29,5220,3941.469917,1278.530083
Apr,East,Alex,241,22,5302,3490.682087,1811.317913
May,East,Alex,223,25,5575,4283.527463,1291.472537
Jul,North,Alex,188,29,5452,4222.413012,1229.586988
Jul,South,Alex,190,21,3990,2833.603499,1156.396501
Nov,East,Jordan,239,25,5975,4456.413433,1518.586567
Apr,West,Jamie,245,31,7595,5914.637886,1680.362114
Jul,South,Jamie,96,24,2304,1802.974982,501.0250183
Nov,East,Alex,165,32,5280,3516.372967,1763.627033
Mar,East,Alex,118,22,2596,2009.623728,586.3762715
Jun,West,Alex,120,33,3960,2736.900551,1223.099449
Dec,North,Skyler,127,34,4318,3277.776677,1040.223323
Feb,West,Skyler,235,26,6110,4269.512947,1840.487053
Oct,North,Jamie,156,30,4680,3081.543429,1598.456571
Sep,East,Jamie,80,23,1840,1253.924316,586.0756841
May,North,Alex,196,30,5880,4182.448506,1697.551494
Jun,East,Skyler,98,33,3234,2461.670004,772.3299964
Dec,East,Jordan,138,25,3450,2294.614127,1155.385873
Dec,South,Skyler,186,28,5208,4020.264138,1187.735862
Dec,North,Jamie,248,31,7688,6146.883999,1541.116001
Dec,North,Skyler,217,33,7161,5501.356947,1659.643053
Apr,North,Jamie,107,25,2675,1928.836779,746.1632213
Nov,West,Alex,113,23,2599,1910.847258,688.1527418
Oct,South,Jordan,118,34,4012,2611.507394,1400.492606
Jul,South,Alex,205,29,5945,4050.869945,1894.130055
Dec,South,Alex,162,34,5508,4322.94,1185.06
Sep,West,Jordan,185,21,3885,2537.912809,1347.087191
Jul,North,Jordan,189,28,5292,4158.026234,1133.973766
Jan,North,Jordan,200,34,6800,4535.52,2264.48234
Jan,North,Jamie,186,33,6138,4112.221351,2025.778649
Sep,South,Alex,210,23,4830,3266.54101,1563.45899
